Form,Gloss,Count,Sa_Verb
mame,depois,71,False
se,comp,58,False
ne,dpt,42,False
rahkene,consumação,32,False
yna,nós,31,False
ynan,nós,26,False
pyra,neg,25,False
to,comp,25,False
yto,ir,23,True
ka,dizer_fazer,23,True
moro,açãofoco,21,False
papa,pai,20,False
morarame,então,20,False
ty,comp,19,False
***,***,19,False
ywy,eu,19,False
ry,ncm,19,False
a,para_por,17,False
moroto,lá,17,False
a,ser_estar,16,True
j,lso_pos,16,False
kono,cunhado,15,False
ropa,de_novo,15,False
t,comp,15,False
toto,grupo,15,False
a,dizer,14,True
eh,ficar,14,True
se,contpt,14,False
kyn,3ps,14,False
pata,aldeia,13,False
a,3pos,13,False
rokẽ,só,13,False
poko,relativo_a,13,False
repe,frust,13,False
htao,quando,12,False
rokene,somente,11,False
oeh,vir,11,True
orih,morrer,10,False
ry,pos,10,False
ro,mesmo,9,False
mety,tanga,9,False
sero,esta,8,False
arimi,macaco,8,False
topo,ncm,8,False
exi,estar,8,True
uo,matar,7,False
kaikuxi,onça,7,False
to,puxa,7,False
ne,tnspdist,7,False
wo,matar,7,False
exiryke,porque_é,7,False
nase,está,6,True
arimi,guamba,6,False
ro,ainda,6,False
pona,para,6,False
to,pl,6,False
no,ipt,5,False
n,3ps,5,False
enara,assim,5,False
ṽpo,velho,5,False
nyh,dormir,5,False
aja,mamãe,5,False
itamurume,muitos,5,False
kene,ipt,5,False
se,desej,5,False
ynara,assim,5,False
se,ccmp,5,False
se,purpm,5,False
kynako,disse,4,True
esety,nome,4,False
moe,longe,4,False
pore,chegar,4,False
ru,pos,4,False
kahpyry,feio,4,False
onuh,subir,4,False
to,conp,4,False
ṽ,pos,4,False
os,reflx_se,4,False
roropa,também,4,False
me,como,4,False
maro,com,4,False
kuao,na_água,4,False
wewe,árvore,4,False
tuhke,muitos,4,False
iporiry,igarapé,4,False
zumo,grande,4,False
moro,aquele/a,4,False
me,desc,4,False
tou,pl_ipt,4,False
onoky,quem,4,False
toh,grupo,4,False
tuaro,saber,4,False
ke,pos,4,False
eh,surpresa,4,True
kohmã,anoitecer,4,False
samo,semelhante,4,False
ṽko,contasp,3,False
ry,subjunct,3,False
tomo,coletivo,3,False
ahno,gente,3,False
se,conp,3,False
ikure,rio_abaixo,3,False
se,compasp,3,False
pitiko,um_pouco,3,False
htao,se,3,False
ka,dizer,3,True
eta,ouvir,3,False
e,3,3,False
eporehka,chegar,3,True
ry,nom,3,False
xine,plrel,3,False
reh,expectativo,3,False
ekahma,seguir,3,False
naka,para,3,False
poeto,criança,3,False
ty,desc,3,False
awihwi,irmão_mais_velho,3,False
eh,estar_ficar,3,True
ṽpo,expirado,3,False
enuru,nascer,3,False
ty,ccmp,3,False
ke,com_inst,3,False
popyra,mal,3,False
tãkye,feliz,3,False
pihpo,pele,3,False
ke,pt,3,False
aorihtyamo,finado,3,False
mya,longe,3,False
oxiroh,febre,3,False
esahpyo,ausência,3,False
po,no_na,3,False
toiro,uma,3,False
poko,occupar_com,3,False
tyã,pl_nom,3,False
ko,imp,3,False
eny,mãe,2,False
ooeh,vir,2,True
totahke,saboroso,2,False
tõsẽ,carne,2,False
mahna,está,2,True
amorepa,ensinar,2,False
ukuh,tentar,2,False
kene,dpt,2,False
mose,este//a,2,False
otuh,comer,2,True
kakoxi,para_cima,2,False
esẽ,dono,2,False
yna,nosso/a,2,False
kanawa,canoa,2,False
ae,pela,2,False
moro,aquele//a,2,False
exi,ser,2,False
eroh,trabalhar,2,False
itu,floresta,2,False
eseka,morder,2,False
tohme,para,2,False
parahta,balata,2,False
m,você,2,False
kae,alto,2,False
puru,assar,2,False
urakana,caçar,2,False
otoko,onde,2,False
ke,razão,2,False
ezuh,responder,2,False
sasaka,eminente,2,False
xita,chorar,2,False
emah,mãopos,2,False
taky,arco,2,False
osema,caminho,2,False
yrcme,mas,2,False
tiko,pouquinho,2,False
t,obj,2,False
dup,***,2,False
z,dele,2,False
ya,para_por,2,False
axi,rápido,2,False
s,12s,2,False
hxo,aument,2,False
ü,resp,2,False
ase,aux,2,True
oturupo,perguntar,2,True
ypy,montanha,2,False
ekureh,falhar,2,False
tapyi,casa,2,False
erery,figado,2,False
ty,compl,2,False
yna,nos,2,False
ya,para//por,2,False
aro,levar,2,False
jy,ls_0_pos,2,False
y,meu,2,False
otarame,talvez,2,False
sã,parece,2,False
t,ccmp,2,False
ṽpyry,ptpos,2,False
hko,avaliar,2,False
a,genpr,2,False
xípo,depois_de,2,False
xiaro,para_cá,2,False
ene,ver,2,False
kana,peixe,2,False
to,camp,2,False
kuaka,para,2,False
po,noá,2,False
tõ,tiro,2,False
morararo,mesma_coisa,2,False
pitiko,pequena,2,False
komo,grupo,2,False
po,caus,2,False
roke,só,2,False
xihxi,senhora,2,False
aorihtyã,finado,2,False
yrome,mas,1,False
on,3p0,1,False
sarome,capaz,1,False
hna,3saux,1,False
wa,dançar,1,False
awihwi,irrnão_mais_velho,1,False
ikapo,atraz,1,False
ty,conp,1,False
xia,para_cá,1,False
orame,horas,1,False
atarypo,apressar,1,False
konopo,chuva,1,False
ty,cornp,1,False
anumma,subir,1,False
sõ,suando,1,False
emory,cume_da_montanha,1,False
pona,em_cima_do,1,False
h,pergunta,1,False
ra,não,1,False
mokyro,aquele/a,1,False
5,cinco,1,False
taka,para,1,False
zuno,grande,1,False
ry,nqm,1,False
seromaroro,agora_mesrno,1,False
arakapusa,espingarda,1,False
juamekaro,ignorante,1,False
moro,agueie//a,1,False
morotoino,depois,1,False
mya,além,1,False
mya,topico,1,False
at,reflex,1,False
at-apiaka,reflex-dividir,1,True
kohma,chamar,1,False
arypyra,nada,1,False
o,pr_geral_o,1,False
to,ncm,1,False
tüta,sair,1,False
osemazuhme,primeiro,1,False
zuaro,saber,1,False
to,atirar,1,False
patu,sobrinho,1,False
pune,caber,1,False
ehmaropa,vamos_todos,1,False
kene,amelior,1,False
yt,***,1,False
pohto,mais_ou_menos,1,False
tano,aqui,1,False
syt,12s,1,False
tu,camp,1,False
nõko,cont,1,False
apoto,fogo,1,False
se,camp,1,False
pona,no//a,1,False
sah,sacudir,1,False
mano,está_falando,1,False
sasa,vareta,1,False
pyrehto,armar,1,False
hnao,no_meio_de,1,False
pakira,caititu,1,False
mokyro,aquele//a,1,False
jamihta,fortificar,1,False
se,corrp,1,False
konõto,grande,1,False
topo,n0m,1,False
axi,rapido,1,False
otyryhka,desembarcar,1,True
owo,se_levantar,1,False
hma,você_está,1,False
toh,ncm,1,False
ema,jogar,1,False
tymoke,estragada,1,False
tõ,comer,1,False
kururnu,urubu,1,False
oh,carne,1,False
ekaro,dar,1,False
j,ls0_pos,1,False
ynan,13s,1,False
etuarima,sofrer,1,True
xihpyry,feio,1,False
htao,dentro_do,1,False
tah,se_perder,1,False
omise,com_fome,1,False
omise,ccm_fome,1,False
atãkyema,regozijar,1,True
os-ereh,reflx_se-espantar,1,True
amo,cobrir,1,False
otyhka,terminar,1,True
xipo,tempconj_depois,1,False
pake,antigamente,1,False
uka,queimar,1,False
ta,comp,1,False
uahka,tirar_bucho,1,False
tu,comp,1,False
õ,comer,1,False
ryme,enquanto,1,False
ipunaka,profundamente,1,False
pito,começar,1,False
kure,boa,1,False
yrara,lagarto,1,False
tõ,grupo,1,False
hro,resposta_pos,1,False
h,enfatico,1,False
tiko,enfatico,1,False
emepy,madrugada,1,False
sã,amanhecer,1,False
emeh,amanhecer,1,False
tã,perto,1,False
pukuro,media,1,False
tuna,água,1,False
ehpi,beira,1,False
kuroko,ao_longo_de,1,False
emitapã,fome,1,False
keh,cess,1,False
pyrou,flecha,1,False
se,canp,1,False
htao,guando,1,False
otara,o_que_é_que,1,False
e,ele,1,False
esyryhma,mudar,1,True
t,conp,1,False
yryh,engatou,1,False
zaraimo,angelim,1,False
ehma,forquilha,1,False
tao,dentro,1,False
nuno,lua,1,False
ryhpoka,desengatar,1,False
toiro,una,1,False
akuruhta,adoecer,1,False
moky,lá_está,1,False
aporo,brevemente,1,False
ṽvko,cont,1,False
se,conç•,1,False
hna,está,1,True
ua,dançar,1,False
enahka,acabar,1,False
wyi,mandioca,1,False
ko,inp,1,False
se,amelior,1,False
pahne,favor,1,False
ty,canp,1,False
kara,não_é,1,False
se,coni>,1,False
axí,com_pressa,1,False
rukuh,superlativo,1,False
mokyro,aquele,1,False
pore,chegou,1,False
tyoro,diferente,1,False
se,ccnpasp,1,False
os-epory,reflx_se-encontrar,1,True
imeipo,depois,1,False
yro,ela,1,False
se,aqui,1,False
poetory,empregado,1,False
mokaro,aqueles,1,False
kynako,fez,1,True
y,eu,1,False
ri,fazer,1,False
topo,nqm,1,False
ameke,longe,1,False
inikahpozakoxi,rio_acima,1,False
ornuhpe,saudades,1,False
ekepyry,defunto,1,False
mana,está,1,True
oorih,morrer,1,False
moe,lange,1,False
jeimã,passa_verão,1,False
naeroro,por_isso,1,False
itamurune,muitos,1,False
ṽpyry,***,1,False
onokyro,bicho,1,False
se,campasp,1,False
kure,bom,1,False
se,ccmpasp,1,False
moino,de_lá,1,False
imepy,outro,1,False
poe,de_lá,1,False
atakĩma,arrumar,1,True
oximaro,juntos,1,False
nomo,abandanar,1,False
ty,themdpos,1,False
jy,ls_o_pos,1,False
hnao,se_não_estivesse,1,False
se,corop,1,False
to,thempos,1,False
oty,que,1,False
aja,mamãe!,1,False
y,minha,1,False
eneh,trazer,1,False
ẽmeh,amanhecer,1,False
nae,está,1,True
j,3pos,1,False
eny,beber,1,False
suhsu,peito,1,False
e,reflx,1,False
e-metyka,reflx-tirou_a_tanga,1,True
tomeseke,com_cuidado,1,False
nae,tem,1,False
morara,semelhante,1,False
os-enakünuh,reflx_se-engasgou,1,True
enao,junto_ccm,1,False
os-enakunuh,reflx_se-engasgou,1,True
toro,chamas,1,False
tyse,mãe_dele,1,False
u,meu,1,False
mukuru,filho,1,False
m,pos,1,False
ṽe,desc,1,False
eunohnõko,***,1,True
pika,descascar,1,False
taro,aqui,1,False
wãta,crescer,1,False
no,hortativo,1,False
roropa,tanibem,1,False
oh,came,1,False
me,ccmo,1,False
oturu,conversar,1,True
ṽ,nom,1,False
zuh,cabeça,1,False
okomino,depois,1,False
ino,de,1,False
oze,onde,1,False
po,na,1,False
rukuh,será_que_é,1,False
ahno,cozinhar,1,False
keh,query,1,False
one,ver,1,False
epuka,cair,1,True
pyra,não_há,1,False
nase,é,1,True
pake,cedo,1,False
ṽpyry,pretpos,1,False
pisarara,pequena,1,False
exi,ficar,1,True
pynoh,salvar,1,False
u,lps3po,1,False
puxa,to!,1,False
xihxi,irmã,1,False
me,corno,1,False
yty,botar_timbó,1,False
